927	E6	43.411	129	69	3	11	138	3	128	1.64e-27	90.5
927	E6	30.769	117	80	1	17	133	28	143	2.74e-13	53.9
927	E6	29.545	132	85	4	4	129	9	138	2.92e-10	45.8
927	E6	28.571	119	76	3	9	125	13	124	2.44e-08	40.4
3414	E2	27.316	421	235	9	12	418	1	364	1.89e-42	144
1294	E7	100.000	127	0	0	10	136	1	127	9.68e-93	255
1643	E1	38.872	656	341	10	17	619	1	649	1.63e-150	440
4556	E5	100.000	44	0	0	57	100	1	44	7.47e-20	67.0
4556	E5	48.276	29	15	0	71	99	19	47	8.71e-08	36.2
4943	L2	27.395	522	249	24	33	492	8	461	6.92e-18	75.9
4943	L2	49.057	53	26	1	42	94	51	102	2.11e-09	49.3
6431	L1	47.843	510	252	8	2	500	24	530	1.58e-172	488
