BPV2	M20219	100.000	127	0	0	1	127	1	127	7.40e-90	253
BPV2	JQ798171	98.425	127	2	0	1	127	1	127	5.12e-88	249
BPV2	X02346	93.701	127	8	0	1	127	1	127	3.92e-85	241
BPV2	JX174437	89.683	126	13	0	1	126	1	126	8.54e-71	205
BPV2	KP276343	40.476	126	50	2	1	126	1	101	8.68e-22	80.9
BPV2	NC_011051	33.600	125	66	2	1	125	1	108	3.62e-14	61.2
BPV2	KX954121	35.772	123	54	4	1	121	1	100	1.10e-13	60.1
BPV2	NC_001523	50.000	50	25	0	73	122	52	101	2.88e-12	56.2
BPV2	NC_001789	34.959	123	54	5	1	121	1	99	1.42e-11	54.3
BPV2	NC_015267	30.469	128	76	3	1	127	1	116	3.06e-11	53.9
BPV2	NC_001524	33.071	127	58	4	1	125	1	102	6.89e-11	52.8
BPV2	U83595	34.959	123	54	5	1	121	1	99	8.62e-11	52.4
BPV2	AF443292	48.000	50	24	1	76	125	50	97	1.09e-09	49.3
BPV2	NC_014952	38.889	72	40	3	57	126	26	95	1.26e-09	49.3
BPV2	MF509819	45.098	51	27	1	76	125	46	96	4.57e-08	45.4
BPV2	KC858264	30.769	91	50	3	30	118	14	93	1.94e-07	43.5
BPV2	MH777196	39.623	53	31	1	76	127	46	98	2.13e-07	43.5
BPV2	KX954132	28.906	128	63	3	1	125	1	103	2.37e-07	43.5
BPV2	MK443497	27.778	90	59	2	32	121	16	99	2.67e-07	43.1
BPV2	MF588681	40.385	52	31	0	76	127	49	100	3.63e-07	42.7
BPV2	KU519393	34.000	50	33	0	70	119	35	84	4.06e-07	42.4
BPV2	KT852571	30.709	127	72	4	1	118	1	120	5.13e-07	43.1
BPV2	NC_004195	33.333	126	73	4	1	121	1	120	5.55e-07	42.7
BPV2	MG571089	37.879	66	40	1	63	127	31	96	5.57e-07	42.4
BPV2	KY705374	35.849	53	33	1	76	127	39	91	1.21e-06	41.2
BPV2	Y15174	30.851	94	59	3	39	127	9	101	1.57e-06	41.2
BPV2	MF588754	33.824	68	42	2	61	126	18	84	2.12e-06	40.4
BPV2	MH777182	38.462	52	31	1	76	126	46	97	2.96e-06	40.4
BPV2	MH777203	35.849	53	33	1	76	127	44	96	3.27e-06	40.4
BPV2	DQ080083	36.000	50	32	0	69	118	46	95	3.45e-06	40.0
BPV2	MH285954	39.623	53	31	1	76	127	44	96	4.47e-06	40.0
BPV2	MF588721	37.209	43	27	0	76	118	44	86	4.86e-06	39.7
BPV2	FM955839	36.538	52	33	0	76	127	49	100	4.96e-06	40.0
BPV2	KF006399	41.860	43	25	0	76	118	46	88	5.10e-06	39.7
BPV2	Y15173	30.108	93	61	2	39	127	9	101	5.66e-06	39.7
BPV2	NC_012213	43.137	51	28	1	76	125	45	95	5.94e-06	39.7
BPV2	HQ625440	40.000	55	30	1	76	127	48	102	6.53e-06	39.7
BPV2	MH777192	38.462	52	31	1	76	126	46	97	9.04e-06	39.3
BPV2	KC311731	36.538	52	32	1	76	126	46	97	9.13e-06	39.3
